proposal_id,proposer_address,proposal_threshold,quorum_votes,for_votes,against_votes,abstain_votes,canceled,total_supply,uncast_votes
280,0xAEC4075e4fc8cE829BC4f0cFD5e2fA10dd2b12D1,1,111,112,42,13,false,693,526
279,0x0B3CF56E7dF3BB3Fb7201fFcD96d279b05DDd2E3,1,138,143,124,6,false,693,420
278,0xbc3ed6B537f2980e66f396Fe14210A56ba3f72C4,1,138,153,121,5,false,692,413
277,0x93D94557824AC07A30b5B0f44f7CB3E00f9c4191,1,138,154,121,0,false,692,417
276,0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8,1,138,89,151,0,false,690,450
275,0x29c5dad7E34d0A27d6F65a0A7E07E4d03Dcd68c8,1,69,0,0,0,true,690,690
274,0x91dCCAA260CC4616E1a6e6b693DB7207C5E42937,1,137,157,118,7,false,689,407
273,0x9d3BEDE31F1C3b8532b98d8a9569e4B5B3fB6Ba8,1,137,6,133,0,true,689,550
272,0x13eEf4EF8FCa471f242ab0F8F49A3dB6017aDA33,1,137,184,93,12,false,689,400
271,0x83fCFe8Ba2FEce9578F0BbaFeD4Ebf5E915045B9,1,137,179,173,9,false,688,327
270,0xf2b7BfCDD6b596767E346269a8675472b45d098f,1,136,6,130,7,false,684,541
269,0x0658f4eD17289144717713ADfFC2539eF7c2EF8e,1,135,101,78,57,false,677,441
268,0x13eEf4EF8FCa471f242ab0F8F49A3dB6017aDA33,1,101,158,115,7,false,675,395
267,0x93D94557824AC07A30b5B0f44f7CB3E00f9c4191,1,67,0,0,0,true,674,674
266,0x144975eEc9674fd0Af3d6F3FBa8D660879cE3881,1,100,64,147,16,false,673,446
265,0x43e3AB994070db606042e8DEfFD146300CB52919,1,100,69,144,7,true,669,449
264,0xE7304bA0f157f2Ade94015934284b6704BC72911,1,99,0,110,0,true,665,555
263,0xDEAD753f9B1eb8F2f7372E8587e7C6e342daac89,1,99,190,110,1,false,664,363
262,0xAA4fBd73051B151397Bb369c7E2a6052a894d924,1,99,131,127,8,false,662,396
261,0x4754b7e3DEde42D71d6c92978f25F306176EC7e9,1,99,161,139,8,false,662,354
